X,Y,Index_,event_unique_id,occurrencedate,reporteddate,premisetype,ucr_code,ucr_ext,offence,reportedyear,reportedmonth,reportedday,reporteddayofyear,reporteddayofweek,reportedhour,occurrenceyear,occurrencemonth,occurrenceday,occurrencedayofyear,occurrencedayofweek,occurrencehour,MCI,Division,Hood_ID,Neighbourhood,Long,Lat,ObjectId
-79.3716202,43.7174606,63715,GO-20151913280,2015-11-06T20:30:00.000Z,2015-11-07T08:13:00.000Z,House,2135,210,Theft Of Motor Vehicle,2015,November,7,311,Saturday  ,8,2015,November,6,310,Friday    ,20,Auto Theft,D53,56,Leaside-Bennington (56),-79.3716202,43.7174606,63485
-79.4020309,43.7141457,63834,GO-2015789738,2015-05-10T09:00:00.000Z,2015-05-12T07:54:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,2015,May,12,132,Tuesday   ,7,2015,May,10,130,Sunday    ,9,Auto Theft,D53,103,Lawrence Park South (103),-79.4020309,43.7141457,63790
-79.3796234,43.7243309,55785,GO-20151782832,2015-10-08T11:30:00.000Z,2015-10-16T14:22:00.000Z,Other,1430,100,Assault,2015,October,16,289,Friday    ,14,2015,October,8,281,Thursday  ,11,Assault,D53,41,Bridle Path-Sunnybrook-York Mills (41),-79.3796234,43.7243309,55916
-79.385459899999987,43.7196579,55789,GO-20151466029,2015-08-25T21:18:00.000Z,2015-08-25T23:05:00.000Z,House,2120,200,B&E,2015,August,25,237,Tuesday   ,23,2015,August,25,237,Tuesday   ,21,Break and Enter,D53,41,Bridle Path-Sunnybrook-York Mills (41),-79.3854599,43.7196579,55920
-79.3655624,43.7187157,68107,GO-2016859758,2016-05-18T18:00:00.000Z,2016-05-19T10:12:00.000Z,Commercial,2130,210,Theft Over,2016,May,19,140,Thursday  ,10,2016,May,18,139,Wednesday ,18,Theft Over,D53,41,Bridle Path-Sunnybrook-York Mills (41),-79.3655624,43.7187157,68169
-79.3779221,43.7217369,68727,GO-20161555701,2016-09-02T07:00:00.000Z,2016-09-02T08:34:00.000Z,Other,1430,100,Assault,2016,September,2,246,Friday    ,8,2016,September,2,246,Friday    ,7,Assault,D53,41,Bridle Path-Sunnybrook-York Mills (41),-79.3779221,43.7217369,68540
-79.4000397,43.7145691,68396,GO-2017325443,2017-02-21T14:30:00.000Z,2017-02-21T15:24:00.000Z,Outside,1430,100,Assault,2017,February,21,52,Tuesday   ,15,2017,February,21,52,Tuesday   ,14,Assault,D53,99,Mount Pleasant East (99),-79.4000397,43.7145691,68791
-79.4008179,43.7220764,62552,GO-20151568526,2015-09-10T20:00:00.000Z,2015-09-11T08:10:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,2015,September,11,254,Friday    ,8,2015,September,10,253,Thursday  ,20,Auto Theft,D53,103,Lawrence Park South (103),-79.4008179,43.7220764,62173
-79.3943558,43.7237091,62385,GO-20151722926,2015-10-06T00:05:00.000Z,2015-10-06T07:55:00.000Z,House,2135,210,Theft Of Motor Vehicle,2015,October,6,279,Tuesday   ,7,2015,October,6,279,Tuesday   ,0,Auto Theft,D53,103,Lawrence Park South (103),-79.3943558,43.7237091,62546
-79.3842087,43.7226105,62796,GO-20152022259,2015-11-25T00:01:00.000Z,2015-11-25T13:10:00.000Z,House,2135,210,Theft Of Motor Vehicle,2015,November,25,329,Wednesday ,13,2015,November,25,329,Wednesday ,0,Auto Theft,D53,41,Bridle Path-Sunnybrook-York Mills (41),-79.3842087,43.7226105,62830
